collision,speed_car,distance_ped_start,speed_ped
0.6757285479022497,35,9,0.2
0,40,9,0.2
1.960003301950111,50,9,0.2
2.0702367588484596,55,9,0.2
2.155587334024265,60,9,0.2
2.1876673414567387,70,9,0.2
2.194084189764604,80,9,0.2
1.1900085680169548,35,10,0.2
0,40,10,0.2
1.832367796327084,50,10,0.2
1.9334126371179567,55,10,0.2
2.0337421808304224,60,10,0.2
2.121724995376395,70,10,0.2
2.0774413504054925,80,10,0.2
2.243056423096211,35,12,0.2
0.6656750481246866,40,12,0.2
0,50,12,0.2
0,55,12,0.2
1.8190307382594415,60,12,0.2
1.906089877564429,70,12,0.2
1.9108719033442132,80,12,0.2
3.470351535431273,35,15,0.2
3.8665786406685125,40,15,0.2
0,50,15,0.2
0,55,15,0.2
0,60,15,0.2
0,70,15,0.2
0,80,15,0.2
3.5950141271173948,35,17,0.2
3.5562482497508263,40,17,0.2
0,50,17,0.2
0,55,17,0.2
0,60,17,0.2
0,70,17,0.2
0,80,17,0.2
3.388189223929812,35,20,0.2
5.314605308196112,40,20,0.2
2.3144367135870527,50,20,0.2
0.06464869860742196,55,20,0.2
0,60,20,0.2
0,70,20,0.2
0,80,20,0.2
0,35,9,0.3
0,40,9,0.3
0,50,9,0.3
0,55,9,0.3
1.944078917204398,60,9,0.3
2.036534067739712,70,9,0.3
2.0431886881008965,80,9,0.3
1.7786895580866806,35,10,0.3
0,40,10,0.3
0,50,10,0.3
0,55,10,0.3
0,60,10,0.3
1.8859646991390686,70,10,0.3
1.8977495251885306,80,10,0.3
2.2603073088694585,35,12,0.3
2.9840823507279253,40,12,0.3
0,50,12,0.3
0,55,12,0.3
0,60,12,0.3
0,70,12,0.3
0,80,12,0.3
5.631520512934651,35,15,0.3
4.888616091250499,40,15,0.3
0.06518728532508905,50,15,0.3
0.12900360798276736,55,15,0.3
0,60,15,0.3
0,70,15,0.3
0,80,15,0.3
5.650279728397563,35,17,0.3
4.4490817653035455,40,17,0.3
1.3321358304626563,50,17,0.3
0.08763077289583676,55,17,0.3
0,60,17,0.3
0,70,17,0.3
0,80,17,0.3
4.694786660198401,35,20,0.3
4.46277058782813,40,20,0.3
4.53117707690804,50,20,0.3
0.7827210445479739,55,20,0.3
0.601843762450272,60,20,0.3
0.6168021317524385,70,20,0.3
0.5349321460061675,80,20,0.3
1.9445645522834745,35,9,0.4
0,40,9,0.4
0,50,9,0.4
0,55,9,0.4
0,60,9,0.4
0,70,9,0.4
0,80,9,0.4
2.819271850957583,35,10,0.4
0.13717614776595358,40,10,0.4
0,50,10,0.4
0,55,10,0.4
0,60,10,0.4
0,70,10,0.4
0,80,10,0.4
3.3134917241176116,35,12,0.4
2.2802992585985065,40,12,0.4
0,50,12,0.4
0,55,12,0.4
0,60,12,0.4
0,70,12,0.4
0,80,12,0.4
5.977598120777499,35,15,0.4
6.533974760432697,40,15,0.4
1.0121798993167188,50,15,0.4
0.3765530279608537,55,15,0.4
0,60,15,0.4
0,70,15,0.4
0,80,15,0.4
6.012330419575009,35,17,0.4
5.893535705618015,40,17,0.4
2.6456616871621224,50,17,0.4
0.9133296142940001,55,17,0.4
0.2778767758560301,60,17,0.4
0.38303053909806584,70,17,0.4
0.3430388945068495,80,17,0.4
5.492201138098956,35,20,0.4
6.496163305962098,40,20,0.4
5.399255522956498,50,20,0.4
2.114058277548568,55,20,0.4
1.6361293090409672,60,20,0.4
1.4263276358198969,70,20,0.4
1.606548054856184,80,20,0.4